title,year,director1,director2,actor1,actor2,budget,runtime,nudity,twist,genre1,genre2,mpa,medium,nationality,distribution,watchdate,rewatch,personal_rating,avg_rating,r-direction,r-cinematography,r-score,r-acting,r-screenplay,location,watchon,rental,cost,notes
O' Brother Where Art Thou,2000,Joel Coen,Ethan Coen,George Clooney,Tim Blake Nelson,26000000,107,0,0,comedy,adventure,pg13,liveaction,american,touchstone,20210609,1,9,9.1,9.5,8,10,9,9,home,amazonprime,1,4,watched with Kendall
Alien 3,1992,David Fincher,,Sigourney Weaver,Charles Dutton,50000000,114,0,1,scifi,horror,r,liveaction,american,fox,20210530,0,6,6.66,6,6.5,8,6.8,6,train,amazonprime,0,,watched it on the MTA train on my way from JFK to NHV
E.T. The Extra Terrestrial ,1982,Steven Spielberg,,Henry Thomas,Drew Barrymore ,10500000,115,0,0,adventure,scifi,pg,liveaction ,american,amblin,20210529,0,8.5,8.58,8,8.7,9.5,8.7,8,airplane,amazonprime,0,,watched at the airport on the way back to JFK
The French Connection ,1971,William Friedkin,,Gene Hackman ,Roy Sheider,1800000,104,0,0,crime,action,r,liveaction ,american,,20210519,0,9.5,8.7,9,9,9,8,8.5,family,amazonprime,0,,started at Thomas' house but finished at the parents house
Unbreakable,2000,M. Night Shyamalan,,Bruce Willis,Samuel L. Jackson,75000000,106,0,1,drama,mystery,pg13,liveaction,american,touchstone,20210517,0,5.5,6.7,6.5,7,7,7,6,airplane,amazonprime,0,,"started on airplane, finished at Kristin/Connor's"
Good Time,2017,Benny Safdie,Josh Safdie,Robert Pattinson,Buddy Duress,4500000,101,0,1,crime,thriller,r,liveaction,american,A24,20210511,1,8.5,8.4,9,8.5,9,8,7.5,friend,netflix,0,,watched with tom
Galaxy Quest,1999,Dean Parisot,,Tim Allen,Sigourney Weaver,45000000,102,0,0,scifi,comedy ,pg,liveaction,american,dreamworks,20210509,0,6.5,6.9,7.5,6,6.5,7.5,7,airplane,amazonprime,0,,"started it on the airplane, finished it at Nivi's and Ben's"
Minority Report ,2002,Steven Spielberg ,,Tom Cruise ,Colin Farrell ,102000000,145,0,1,scifi,action,r,liveaction,american,fox,20210508,0,6,5.74,5.7,5,4.5,6,7.5,airplane,amazonprime,0,,watched on flight from JFK to SEA
Lost in Translation ,2003,Sophia Coppola,,Bill Murray,Scarlett Johansson,4000000,104,1,0,drama,comedy,r,liveaction,american,focus,20210508,0,6,6.1,6,6,5,7,6.5,airplane,airplane,0,,watched on flight from JFK to SEA
28 Days Later,2002,Danny Boyle,,Cillian Murphy,,8000000,113,1,0,horror,,r,liveaction,british,dna,20210430,0,7,7.2,8,7,6.5,7,7.5,home,hulu,0,,
Fargo,1996,Ethan Coen,Joel Coen,Frances McDormand,William H. Macy,7000000,98,0,0,comedy,crime,r,liveaction,american,polygram,20210429,1,9,8.2,8,8.5,6.5,9.5,8.5,home,amazonprime,0,,watched with Kendall over Zoom
Halloween,1978,John Carpenter,,Jamie Lee Curtis,Donald Pleasance,325000,91,1,0,horror,,r,liveaction,american,compass,20210423,1,8.5,7.6,8,7,9,6.5,7.5,friend,shudder,0,,watched with Eli and Anna
Assult on Precinct 13,1976,John Carpenter,,Tony Burton,Austin Stoker,100000,91,0,0,thriller,action,r,liveaction,american,CKK,20210424,0,6.5,6.5,7,5.5,8,6,6,home,shudder,0,,
Dark Star,1974,John Carpenter,,Brian Narelle,,60000,83,0,0,scifi,comedy,g,liveaction,american,Bryanston,20210404,0,4,4.2,3.5,5,4.5,5,3,home,youtube,1,4,
The Wolf of Wall Street,2013,Martin Scorsese,,Leonardo DiCaprio,Jonah Hill,100000000,180,1,0,crime,comedy,r,liveaction,american,paramount,20210403,0,8,8.4,9,8.5,7,9,8.5,home,youtube,1,4,watched with Kendall
Possessor,2020,Brandon Cronenberg,,Andrea Riseborough,Christopher Abbott,,104,1,1,scifi,horror,r,liveaction,american,ingeniousmedia,20210425,0,6,7.7,8.5,8.5,7.5,8,6,home,hulu,0,,started it a while ago but just finished it today.
Minari,2020,Lee Isaac Chung,,Steven Yeun,Yeri Han,2000000,116,0,1,drama,,pg13,liveaction,american,A24,20210326,0,9,8.6,8,8,8.5,9,9.5,home,youtube,1,20,watched with Kendall
Nomadland,2021,Chloé Zhao,,Frances McDormand,,5000000,110,1,0,drama,,r,liveaction,american,searchlight,20210319,0,8.7,8.7,9,9,8,9,8.5,home,hulu,0,,watched with Kendall
Rent,2005,Chris Columbus,,Idina Menzal,Anthony Rapp,31600000,135,0,0,musical,romantic,pg13,liveaction,american,columbia,20210314,0,7,7.1,6.5,6,7,8.5,7.5,friend,,,,watched with Mechanic street (and kendall)
Cloud Atlas,2012,Lana Wachowski,Lilly Wachowski,Tom Hanks,Hally Berry,128500000,172,1,1,action,scifi,r,liveaction,american,,20210313,1,8,8.6,9,8,9,9,8,home,youtube,1,4,watched with Kendall
Watchmen,2009,Zack Snyder,,Billy Crudup,Malin Åkerman,130000000,163,1,1,action,noir,r,liveaction,american,wb,20210213,0,8,7.8,9,8,6,8,8,home,hbomax,0,,
Sleepless in Seattle,1993,Nora Ephron,,Meg Ryan,Tom Hanks,21000000,105,0,0,comedy,romantic,pg,liveaction,american,columbia,20210208,0,7,7.6,8.5,7,7.5,8,7,home,youtube,1,4,
The Great Mouse Detective,1986,John Musker,Ron Clements,Vincent Price,Barrie Ingham,14000000,74,0,0,mystery,adventure,pg,animated,american,disney,20210207,1,6.5,6.9,7.5,8,6,7,6,home,disneyplus,0,,
Shutter Island,2010,Martin Scorsese,,Leonardo DeCaprio,Mark Ruffalo,65000000,139,1,1,mystery,thriller,r,liveaction,american,paramount,20210206,0,7.8,7.9,8,7,9,8,7.5,home,netflix,0,,
Kill Bill: Volume 2,2004,Quentin Tarantino,,Uma Thurman,David Carradine,30000000,136,0,1,action,,r,liveaction,american,abandapart,20210123,1,8,8.3,7,8.5,9,9,8,home,hulu,,,
Kill Bill: Volume 1,2003,Quentin Tarantino,,Uma Thurman,Lucy Liu,30000000,111,0,1,action,,r,liveaction,american,abandapart,20210123,1,9,9.2,9,9,10,9,9,home,hulu,,,
The Descent,2005,Neil Marshall,,Shauna MacDonald,Natalie Mendoza,4790000,100,0,0,horror,,r,liveaction,british,paramount,20210122,0,2,2,1,2,3,3,1,home,amazonprime,1,4,
The Death of Stalin,2017,Armando Iannucci,,Steve Buscemi,Simon Russell Beale,13000000,107,0,0,comedy,drama,r,liveaction,british,gaumont,20210118,0,8.3,8.3,9,8.5,8,8,8,home,netflix,,,
Life of Brian,1979,Terry Jones,,John Cleese,Eric Idle,4000000,94,1,1,comedy,,r,liveaction,british,montypython,20210115,1,9.5,8.8,9,8,8,9,10,home,netflix,,,
Cloverfield,2008,Matt Reeves,,T.J. Miller,Michael Stahl-David,30000000,90,0,0,scifi,horror,pg13,liveaction,american,badrobot,20210111,0,8.5,7.45,7.8,9,NA,5,8,home,hulu,,,
Good Time,2017,Benny Safdie,Josh Safdie,Robert Pattinson,Buddy Duress,4500000,101,0,1,crime,thriller,r,liveaction,american,A24,20210109,0,8.7,8.64,8.7,9,9,8,8.5,home,netflix,,,
Constantine,2005,Francis Lawrence,,Keanu Reeves,Rachel Weisz,85000000,121,0,0,action,fantasy,r,liveaction,american,wb,20210109,0,6.6,6.5,7,8,5,6,6.5,home,hulu,,,
Monty Python and the Holy Grail,1975,Terry Gilliam,Terry Jones,John Cleese,Eric Idle,311000,91,0,1,comedy,,pg,liveaction,british,montypython,20210108,1,9.5,9,9,9,9,9,9,home,netflix,,,
Teen Wolf,1985,Rod Daniel,,Michael J. Fox,,1200000,91,0,0,comedy,,pg,liveaction,american,,20210105,0,4,4.8,4,5,6,5,4,home,hulu,,,
The Void,2016,Steven Kostanski,Jeremy Gillespie,Aaron Poole,Kenneth Welsh,82000,90,0,1,horror,indie,r,liveaction,canadian,,20210103,0,8.4,7.4,8,7,6,8.5,7.5,home,shudder,,,watched with Justin and Michael online
Catch Me if You Can,2002,Steven Spielberg,,Leonardo DeCaprio,Tom Hanks,52000000,141,0,0,crime,drama,pg13,liveaction,american,dreamworks,20210101,0,5.5,6.3,6,7,7,6.5,5,home,netflix,,,
When Harry Met Sally...,1989,Rob Reiner,,Meg Ryan,Billy Crystal,16000000,95,0,0,comedy,romantic,r,liveaction,american,castlerock,20210101,0,8,8,8,7.5,8,8,8.5,home,hbomax,,,
The Social Network,2010,David Fincher,,Jesse Eisenberg,Andrew Garfield,50000000,120,0,0,drama,bio,pg13,liveaction,american,relativity,20210101,0,7.8,8.1,8.5,7,8,8,9,home ,netflix ,,,
Lady Bird,2017,Greta Gerwig,,Saoirse Ronan,Timothée Chalamet,10000000,95,0,0,drama,indie,r,liveaction,american,A24,20201230,0,10,9.8,9.5,9.5,10,10,10,home,netflix,,,
The Secret Life of Walter Mitty,2013,Ben Stiller,,Ben Stiller,Kristin Wiig,90000000,114,0,1,comedy,adventure,pg,liveaction,american,,20201228,0,3,5.6,5,7,8,6,2,home,hulu,,,hated it
Soul,2020,Pete Docter,,Jamie Foxx,Tina Fey,150000000,100,0,0,family,comedy,pg,animated,american,pixar,20201228,0,4.5,5.3,4,6.5,7,5,4,home,disneyplus,,,
Rushmore,1999,Wes Anderson,,Jason Schwartzman,Bill Murray,10000000,93,0,0,comedy,drama,r,liveaction,american,,20201226,0,8.5,8.6,9,9,9,8,8,home,amazonprime,,,
Ad Astra,2019,James Gray,,Brad Pitt,,80000000,124,0,0,scifi,drama,pg13,liveaction,american,,20201225,0,4.5,5.8,5,10,6,5,3,home,hulu,,,Loved the visuals but the story really fell flat and became uninteresting
John Wick,2014,Chad Stahelski,,Keanu Reeves,,40000000,102,0,0,action,,r,liveaction,american,,20201224,0,9,7.8,9,8,7,7,8,home,youtube,1,4,
True Grit,2010,Ethan Coen,Joel Coen,,,38000000,111,0,0,western,drama,pg13,liveaction,american,,20201224,0,7.8,8.3,8.5,8.5,7,9,8.5,home,hulu,,,
Uncut Gems,2019,Benny Safdie,Josh Safdie,,,19000000,135,1,1,thriller,,r,liveaction,american,,20201223,0,7.5,8.1,9,7,7.5,9,8,home,netflix,,,
Home Alone,1990,Chris Columbus,,,,15000000,102,0,0,comedy,holiday,pg,liveaction,american,,20201218,1,8,7.3,8,6,9,6.5,7,home,disneyplus,,,
Spirited Away,2001,Hayao Miyazaki,,,,18000000,125,0,0,adventure,fantasy,pg,anime,japanese,,20201205,1,9.5,9.3,9,9,10,8.5,10,home,hbomax,,,English dub
Cast Away,2000,Robert Zemeckis,,,,90000000,144,0,0,drama,,pg13,liveaction,american,,20201127,0,7,,,,,,,home,hulu,,,
Evil Dead 2,1987,Sam Raimi,,,,3500000,84,0,0,horror,comedy,r,liveaction,american,,20201122,0,8.5,,,,,,,home,hulu,,,
Midsommar,2019,Ari Aster,,,,9000000,138,1,1,horror,,r,liveaction,american,,20201121,1,8.8,,,,,,,friend,amazonprime,,,Watched at Nicole's house
Moneyball,2011,Bennet Miller,,,,47000000,133,0,0,drama,sport,pg13,liveaction,american,,20201113,0,7.5,,,,,,,home,,,,
Hereditary,2018,Ari Aster,,,,10000000,127,1,1,horror,,r,liveaction,american,,20201029,1,8,,,,,,,friend,,,,Watched at Nicole's house
The Conjouring,2013,James Wan,,,,20000000,112,0,0,horror,,r,liveaction,american,,20201025,0,3,,,,,,,home,,,,
Aliens,1986,James Cameron,,,,18500000,154,0,1,scifi,horror,r,liveaction,american,,20201011,0,7.5,,,,,,,home,,,,
The Shining,1980,Stanley Kubrick,,,,15000000,146,1,1,horror,,r,liveaction,american,,20201003,0,7.5,,,,,,,friend,,,,
Cabin in the Woods,2011,Drew Goddard,,,,30000000,95,0,1,horror,comedy,r,liveaction,american,,20200925,1,8.3,,,,,,,home,,,,
Cloud Atlas,2012,Lana Wachowski,Lilly Wachowski,,,128500000,172,1,1,action,scifi,r,liveaction,american,,20200912,1,9.8,,,,,,,home,,,,
Trick R Treat,2007,Michael Dougherty,,,,12000000,100,0,1,horror,comedy,r,liveaction,american,,20200910,0,8.8,,,,,,,home,,,,horror movie club
Call Me By your Name,2017,Lilly Wachowski,,,,3500000,132,1,0,drama,queer,r,liveaction,,,20200905,0,6.5,,,,,,,home,,,,
Children of the Corn,1984,Fritz Kiersch,,,,3000000,93,0,1,horror,,r,liveaction,american,,20200823,0,6.5,,,,,,,home,,,,
Cloud Atlas,2012,Lana Wachowski,Lilly Wachowski,,,128500000,172,1,1,action,scifi,r,liveaction,american,,20200816,1,10,,,,,,,home,,,,
Halloween,1978,John Carpenter,,,,325000,91,1,1,horror,,r,liveaction,american,,20200815,1,8.9,,,,,,,home,,,,
Texas Chainsaw Massacre,1974,Tobe Hooper,,,,140000,90,1,1,horror,,r,liveaction,american,,20200810,0,9,,,,,,,home,,,,
Host,2020,Rob Savage,,,,NA,57,0,1,horror,,r,liveaction,british,,20200809,0,7.5,,,,,,,home,,,,
Under the Silver Lake,2018,David Robert Mitchell,,,,8000000,140,1,1,thriller,comedy,r,liveaction,american,,20200808,0,5,,,,,,,home,,,,
Hamilton,2020,Lin Manuel Miranda,,,,12500000,160,0,1,musical,,pg13,liveaction,american,,20200729,1,9,,,,,,,parents,,,,
The Man Who Killed Hitler and then Killed the Bigfoot,2018,Robert D. Krzykowski,,,,NA,98,0,1,adventure,drama,nr,liveaction,american,,20200727,0,7,,,,,,,home,,,,
Friday the 13th,1980,Sean S. Cunningham,,,,700000,96,1,1,horror,,r,liveaction,american,,20200726,0,9,,,,,,,home,,,,
Hamilton,2020,Lin Manuel Miranda,,,,12500000,160,0,1,musical,,pg13,liveaction,american,,20200710,0,10,,,,,,,home,,,,
